Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Yemen,2016,1st,113.5,10,10,9.6,9.7,8.1,7.3,9.8,9.8,9.9,9.7,9.6,10
Somalia,2016,2nd,112.3,9.6,10,8.9,8.8,9.4,9.2,9,9.4,9.3,10,9.4,9.2
South Sudan,2016,3rd,112.2,9.7,9.7,9.4,9.8,8.9,6.5,10,9.8,9.3,9.7,10,9.4
Syria,2016,4th,111.5,9.8,9.9,10,8.8,7.5,8.4,9.9,9.4,10,7.9,10,10
Congo Democratic Republic,2016,5th,110.2,8.8,9.8,10,8.3,8.6,7,9.4,9.2,9.6,9.8,10,9.7
Central African Republic,2016,6th,108.9,8.6,9.4,8.3,8.7,9.9,7.1,9.1,10,9.5,9.1,10,9.2
Chad,2016,7th,108.5,9.5,9.8,8.2,9,9,8.5,9.6,9.1,8.8,9.5,9.5,8
Sudan,2016,8th,108,8.4,9.7,10,8.1,7.7,8.3,9.8,8.6,9.4,9.4,9.6,8.9
Afghanistan,2016,9th,105,10,8.6,7.8,8.6,7.5,7.8,9,9.8,7.9,9.3,9.6,9.1
Zimbabwe,2016,10th,99.5,8.8,10,6.7,8.1,7.9,7.3,9.4,8.6,8.2,9,8.2,7.3
Guinea,2016,11th,99.4,8.6,9.6,9.1,8.6,7.3,7.1,9.8,9.2,7.1,8.6,7.6,6.8
Haiti,2016,12th,99.3,7.2,9.3,5.9,8.4,9.2,8.4,8.8,9.2,7.2,8.7,7.4,9.6
Iraq,2016,13th,99.1,8.7,9.6,8.8,5.9,6.7,7.1,8.9,8.7,8.1,8.4,9.1,9.1
Nigeria,2016,14th,98.5,9,9.9,9.4,7.8,8.1,6.9,8,8.9,8.3,9.2,7.2,5.9
Burundi,2016,15th,98.2,8.6,7.9,7.9,8.4,7.2,6,9,8.2,9,9.1,8.4,8.4
Cameroon,2016,16th,97,8.5,9.6,8.5,6.5,7.5,7.5,9.2,8.2,7.7,8.3,8.3,7.2
Eritrea,2016,17th,96.4,6.6,8.1,7.7,7.7,8.4,8.9,9.4,7.8,8.7,8.4,7.7,7
Niger,2016,18th,96.2,8.7,8.9,7.7,7.1,8,7.6,7.3,9.3,6.8,8.8,8.3,7.8
Guinea Bissau,2016,19th,95.5,8.3,9.6,4.9,7.7,9.2,7.5,8.9,8.9,7.2,8.5,6.7,8
Uganda,2016,20th,95.3,7.5,8.9,8.3,6.3,7,7.3,8.6,7.8,8,9,9.1,7.5
Mali,2016,21st,94.5,9.5,5.4,8.1,7.4,7,8.3,6.5,8.5,7.6,8.3,8.4,9.6
Myanmar,2016,22nd,94.3,8.7,8,9.8,5.3,7.1,6.9,8.3,8.3,9.3,5.8,9.1,7.7
Pakistan,2016,23rd,94.2,8.5,9.3,9.4,6.3,5.9,6.8,7.9,8,7.4,7.8,8.1,8.8
Ethiopia,2016,23rd,94.2,8.2,7.9,8.5,6.4,6.5,6.6,8,8.3,8.2,9,8.7,7.9
Kenya,2016,25th,93.5,7.9,9.1,8.6,6.6,7.4,7.2,8.2,8,6.8,8.6,7.7,7.5
North Korea,2016,26th,92.7,8.3,8.5,5.8,8.9,7.5,4.4,10,8.6,9.4,7.1,4.4,9.8
Congo Republic,2016,27th,92.5,7,6.7,7.8,7.6,8.1,7.4,9,8.9,8.4,8.1,7,6.5
Libya,2016,28th,92.2,9,9.7,7.5,7.7,5.3,6,9.7,6.4,9.1,4.3,7.7,9.7
Cote dIvoire,2016,29th,92.1,7.4,9.1,7.5,6.7,7.6,7,7.3,8.2,7.3,8.3,7.2,8.4
Liberia,2016,30th,90.2,6.7,8.3,5.2,7.9,7.8,7.5,6.6,8.7,6.5,8.2,8.1,8.7
Mauritania,2016,31st,90.1,6.3,8.8,7,7.1,6.2,6.9,8.3,8.6,7.5,8.5,7.4,7.4
Venezuela,2016,32nd,89.3,7.4,8.8,7.6,8.6,6.9,6.1,9.3,8.3,9,6.2,5.6,5.5
Mozambique,2016,33rd,88.7,6.7,6.6,5.6,8.6,9.3,7.7,6.8,9.1,5.6,9.3,5.9,7.4
Egypt,2016,34th,88.4,8.2,9.1,8.9,7.9,5.7,5.3,8.6,4.3,10,6.3,6.7,7.3
Angola,2016,35th,87.8,6.9,7.2,7.5,6.6,9.3,6.6,8,8.7,6.7,8.9,6.5,4.9
Bangladesh,2016,36th,87.7,7.6,9.6,8,6.1,6.1,7.6,7.6,7.5,7.3,7,7.5,5.8
Rwanda,2016,37th,87.5,6,8,9.8,6.2,7.8,7.1,6.8,6.8,6.6,7.4,8.1,6.9
Togo,2016,38th,87.4,7,7.6,5.4,7,8.3,7.5,8.5,8.5,7.2,7.5,6.9,6
Sierra Leone,2016,39th,86.8,4.4,7.8,6.2,8.6,8.3,8,6.3,8.8,5.2,8.5,7.4,7.3
Zambia,2016,40th,85.7,5.1,5.9,5.3,7.5,9.4,7.3,8.1,7.3,7.4,9.2,6.1,7
Timor-Leste,2016,41st,85.5,6.6,8.3,5.9,7.5,6.8,7.6,6.1,7.9,4.7,9.2,5.7,9.2
Eswatini,2016,42nd,85.3,5.7,6.8,2.8,9.8,8.2,7,8.5,7.5,8.8,8.6,4.3,7.3
Djibouti,2016,43rd,85.1,5.9,7.3,5.9,7,7.7,5.2,8.1,7.6,7.7,7.8,6.7,8.2
Lebanon,2016,44th,85,8.1,9.6,8.2,6,5.2,5.6,7.1,5.1,7.2,5,8.7,9.1
Nepal,2016,45th,84.7,5.9,8.8,9.7,5.6,6.1,6.2,6.6,6.6,7.1,8.4,7.2,6.5
Sri Lanka,2016,46th,84,6.8,9.1,9,5.5,6.5,7.1,6.9,4.5,8.4,6,7.8,6.3
Burkina Faso,2016,47th,83.9,8.2,7.8,3.9,6.9,7.6,7.2,6.5,8.1,5.6,8.5,6,7.5
Gambia,2016,47th,83.9,6.3,7.7,3.2,8.4,6.3,7.9,7.8,7.3,8.4,8.2,6,6.4
Malawi,2016,49th,83.3,4.8,8.1,5.3,8,8.1,7.4,6.1,8,5.9,9.1,5.2,7.4
Papua New Guinea,2016,50th,83.1,6.7,7.1,5.7,6.4,8.8,7.1,6.2,9.1,7,8.1,4.6,6.2
Philippines,2016,50th,83.1,9.5,8,7.9,4.9,5.1,6,7.2,6.1,7.4,7.5,6.9,6.6
Iran,2016,52nd,83,6.9,9.6,9.5,6.9,5.3,5.9,9,3.9,8.9,4.5,5.9,6.7
Equatorial Guinea,2016,53rd,82.6,5.9,8.2,6.3,5.9,8.1,4.9,9.8,8.1,8.6,7.9,4.5,4.4
Cambodia,2016,54th,82.5,6.4,8.6,6.3,5.3,6.2,7.2,8.7,7.6,7.6,6.2,5.1,7.4
Solomon Islands,2016,55th,81.9,5.9,8.2,5.9,7.1,8.4,6.9,6.2,7.8,4.6,7.7,4.4,8.8
