Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Category,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rate,Education Index
South Sudan,2018,1st,113.4,10,9.7,9.7,10,8.9,6.3,10,9.9,9.2,10,10,9.6,Alert,8.42,8.3,5.22,8.435,1.19,8.2
Somalia,2018,2nd,113.2,9.7,10,9,8.9,9.3,9.5,9.1,9.3,9.6,10,9.7,9.1,Alert,8.45,6.65,1.5,8.1625,1.54,7.68
Yemen,2018,3rd,112.7,9.9,10,9.5,9.6,8.2,7.2,9.7,9.7,9.8,9.6,9.5,10,Alert,4.98,6.33,0.76,6.378,5.66,4.69
Syria,2018,4th,111.4,9.9,9.9,9.9,8.5,7.8,8.1,9.9,9.3,9.9,8.2,10,10,Alert,7.81,7.49,0.86,7.9935,1.29,7.06
Central African Republic,2018,5th,111.1,9.1,9.7,8.8,8.8,9.8,7.4,9.4,10,9.4,9.3,10,9.5,Alert,8.82,5.74,0.62,7.647,2.42,8.18
Congo Democratic Republic,2018,6th,110.7,9.1,9.8,10,8.1,8.5,7,9.6,9.5,9.8,9.6,10,9.7,Alert,4.88,7.53,0.38,8.247,1.87,4.62
Sudan,2018,7th,108.7,8.7,9.7,10,8,7.7,8.6,9.7,8.9,9.3,9.3,9.5,9.2,Alert,9.19,8.2,1.12,3.369,0.44,8.9
Chad,2018,8th,108.3,9.5,9.5,7.7,9,9.3,8.6,8.8,9.7,8.8,10,9.3,8,Alert,3.47,5.07,1.28,4.95,9.35,3.38
Afghanistan,2018,9th,106.6,10,8.6,8.1,8.3,7.8,8.1,9.1,10,8.2,9.2,9.9,9.4,Alert,4.79,6.04,1.82,2.7165,6.81,3.98
Zimbabwe,2018,10th,102.3,9.1,10,7,8.6,8.2,7.6,9.7,8.9,8.5,8.9,8.2,7.6,Alert,6.62,7.44,5.28,7.39,2.01,7.21
Iraq,2018,11th,102.2,9,9.6,9.3,6.3,7,7.4,9.2,8.3,8.4,8.7,9.6,9.4,Alert,7.51,7.34,2.24,6.018,1.11,7.25
Haiti,2018,12th,102,7.4,9.6,6.2,8.4,9.5,8.7,8.7,9.4,7.4,9,7.7,9.9,Alert,4.21,5.52,0.66,5.6095,6.24,3.53
Guinea,2018,13th,101.6,8.9,9.6,8.9,8.9,7.6,7.4,9.7,9.4,7.4,8.8,7.9,7.1,Alert,6.37,7.18,1.38,4.2405,2.51,5.08
Nigeria,2018,14th,99.9,8.9,9.6,9.3,8,8.3,7.2,8.3,8.9,8.6,9.1,7.5,6.2,Alert,5.55,6.48,0.7,6.095,3.34,4.75
Ethiopia,2018,15th,99.6,8.7,8.4,8.8,6.7,6.8,7.6,8.5,8.5,8.7,9.5,9,8.4,Alert,8.36,5.85,1.92,8.32,1.23,6.81
Guinea Bissau,2018,16th,98.1,8.6,9.6,5.2,8,8.9,7.8,9.2,9.2,7.5,8.8,7,8.3,Alert,6.15,6.8,2.26,6.0785,2.36,5.25
Kenya,2018,17th,97.4,8.4,9.6,8.9,7,7.6,7.5,8.1,8.3,7.3,8.9,8,7.8,Alert,3.51,7.49,0.96,6.5935,0.48,2.06
Burundi,2018,17th,97.4,8.5,7.9,7.6,8.1,7,6,8.9,7.7,8.9,9.4,8.7,8.7,Alert,3.99,5.87,2.14,3.821,6.22,2.61
Eritrea,2018,19th,97.2,6.9,8.1,7.4,7.8,8.1,8.6,9.4,8.1,8.7,8.7,8,7.4,Alert,8.23,7.66,2.46,4.3,0.56,7.17
Pakistan,2018,20th,96.3,8.8,8.9,9.7,6.6,6.2,7.1,7.8,7.9,7.7,8.1,8.4,9.1,Alert,6.37,6.59,0.96,6.4215,4.07,5.46
Niger,2018,21st,96.2,8.4,8.9,7.7,7.3,8.2,7.6,7,9.4,6.8,9.1,8,7.8,Alert,8.96,7.33,1.64,6.7645,3.7,7.83
Myanmar,2018,22nd,96.1,9,8.3,9.8,5.6,7.4,6.9,8.6,8.6,9,6.3,9.2,7.4,Alert,7.64,5.57,0.16,7.612,8.74,7.52
Cameroon,2018,23rd,95.3,8,9.1,8.4,6.7,7.5,7.5,8.5,8.4,7.6,8.1,8,7.5,Alert,6.79,7.46,4.16,7.9545,1.81,6.37
Uganda,2018,24th,95.1,7.1,8.6,8.6,6,7.3,7.6,8.3,8,7.9,8.9,9,7.8,Alert,9.02,8.35,1.34,6.256,1.58,8.42
Libya,2018,25th,94.6,9.3,9.4,7.8,8,5.3,6.3,9.8,6.7,9.4,4.6,8,10,Alert,7.23,7.28,2.04,8.73,4.61,6.41
Cote dIvoire,2018,25th,94.6,7.7,9.1,7.8,6.8,7.7,7.3,7.6,8.5,7.6,8.2,7.5,8.7,Alert,7.75,7.94,0.54,3.6905,0.86,6.84
Mali,2018,27th,93.6,9.3,5.4,7.9,7.6,7.3,8.6,6.1,8.5,7.3,8,8.2,9.5,Alert,8.81,8.31,1.02,5.405,1.39,8.04
North Korea,2018,28th,93.2,8.3,8.8,5.8,8.9,7.5,4.4,10,8.6,9.4,7.2,4.4,9.9,Alert,7.01,6.91,5.38,6.7055,1.39,7.25
Congo Republic,2018,29th,93.1,7,6.7,7.5,7.3,7.8,7.7,9,9.2,8.5,8.2,7.5,6.8,Alert,7.38,6.94,0.76,8.248,0.35,6.41
Liberia,2018,30th,92.6,6.7,8.6,5.5,8,8.1,7.5,7.1,9,6.2,8.5,8.4,9,Alert,9.19,8.26,3.2,5.9255,3.93,9.06
Mauritania,2018,31st,92.2,6.6,8.8,6.7,7.4,6.5,7.2,8.2,8.8,7.8,8.8,7.7,7.7,Alert,8.04,6.94,1.36,7.3235,1.99,7.97
Bangladesh,2018,32nd,90.3,7.9,9.3,8.4,5.8,6.4,7.9,7.5,7.8,7.6,7.8,7.8,6.1,Alert,4.73,6.51,6.18,5.6985,0.62,4.45
Angola,2018,33rd,89.4,6.8,7.2,7.2,6.3,9.6,6.9,8.5,8.8,7,9.2,6.8,5.1,Alert,9.09,7.11,1.06,8.2705,0.86,8.52
Rwanda,2018,34th,89.3,6,8,9.7,6.3,8,7.4,7,7.1,6.9,7.7,8,7.2,Alert,7.64,7.04,0.9,8.4935,5.36,6.66
Sierra Leone,2018,35th,89.1,4.3,7.8,6.5,8.4,8.6,8.3,6.6,9.1,5.1,9.1,7.7,7.6,Alert,5.41,6.35,1.54,8.2365,0.36,5.45
Egypt,2018,36th,88.7,8.2,8.8,8.9,7.9,5.7,5.2,8.3,4.6,9.9,6.6,7,7.6,Alert,4.18,6.37,1.66,4.533,3.5,2.67
Mozambique,2018,36th,88.7,6.7,6.6,5.1,8.3,9.1,8,6.5,9.4,5.3,9.8,6.1,7.7,Alert,6.78,7.3,1.48,5.389,1.49,5.84
Timor-Leste,2018,38th,88.3,6.9,8.3,6.2,7.6,7.1,7.9,6.4,8.2,5,9.5,6,9.2,Alert,7.93,6.94,0.7,7.4995,3.66,8.05
Nepal,2018,39th,87.9,6.2,8.8,9.6,6.1,6.4,6.4,7.1,6.9,7.4,8.7,7.5,6.8,Alert,9.23,6.96,1.26,4.926,2.97,8.97
Swaziland,2018,40th,87.5,6,6.8,3.1,9.8,8.1,7.3,8.6,7.8,8.8,9.1,4.6,7.6,Alert,5.82,7.06,0.8,2.414,5.23,4.74
Zambia,2018,41st,87.2,4.9,5.9,5.6,7.8,9.3,7.6,8,7.6,7.7,9.5,6.4,6.9,Alert,8.99,7.03,2.16,6.1295,0.3,8.67
Djibouti,2018,42nd,87.1,6.2,7.3,6.2,6.7,7.9,5.5,8.1,7.8,7.7,8.1,7,8.7,Alert,6.46,7.33,0.88,3.1654,2.13,5.31
